e,a,v,tx,op
1,tag,tag-1,1,assert
2,tag,tag-2,2,assert
3,tag,tag-3,3,assert
4,tag,tag-4,4,assert
5,tag,tag-5,5,assert
tmdb-loader-discover-movies,tmdb-loader-discover-movies/startedAt,1768806309440,24526,assert
tmdb-loader-discover-movies,tmdb-loader-discover-movies/startedAt,1768806309682,24527,assert
tmdb.movie/1000079,tmdb.movie/vote_count,49,41409,assert
tmdb.movie/1000079,tmdb.movie/vote_average,5.755,41409,assert
tmdb.movie/1000079,tmdb.movie/video,false,41409,assert
tmdb.movie/1000079,tmdb.movie/title,A Smile Doesn't Lie,41409,assert
tmdb.movie/1000079,tmdb.movie/release_date,2024-07-03,41409,assert
tmdb.movie/1000079,tmdb.movie/poster_path,/lmgcuru7xkR5ftvaosQLbHGXwbH.jpg,41409,assert
tmdb.movie/1000079,tmdb.movie/popularity,4.0005,41409,assert
tmdb.movie/1000079,tmdb.movie/overview,"Wisi is in trouble. He arrives in Bordeaux in the hope of finding a job and crosses paths with Marina, a humanitarian with a big heart. To get accommodation with her, he pretends to be undocumented. One evening, he meets Jérôme, himself on the street after the death of his mother.",41409,assert
tmdb.movie/1000079,tmdb.movie/original_title,Pourquoi tu souris ?,41409,assert
tmdb.movie/1000079,tmdb.movie/original_language,fr,41409,assert
tmdb.movie/1000079,tmdb.movie/id,1000079,41409,assert
tmdb.movie/1000079,tmdb.movie/genre_id,18,41409,assert
tmdb.movie/1000079,tmdb.movie/genre_id,35,41409,assert
tmdb.movie/1000079,tmdb.movie/backdrop_path,/8xjDW4fWRVaVkBz1F05aofRjY7v.jpg,41409,assert
tmdb.movie/1000079,tmdb.movie/adult,false,41409,assert
tmdb.movie/100032,tmdb.movie/vote_count,18,41329,assert
tmdb.movie/100032,tmdb.movie/vote_average,6.7,41329,assert
tmdb.movie/100032,tmdb.movie/video,false,41329,assert
tmdb.movie/100032,tmdb.movie/title,The Great Los Angeles Earthquake,41329,assert
tmdb.movie/100032,tmdb.movie/release_date,1990-11-11,41329,assert
tmdb.movie/100032,tmdb.movie/poster_path,/16lXOKjICh1PZ1x1xXMtQbddv9i.jpg,41329,assert
tmdb.movie/100032,tmdb.movie/popularity,3.013,41329,assert
tmdb.movie/100032,tmdb.movie/overview,"After a series of small tremors in Los Angeles, Dr. Clare Winslow, a local seismologist, pinpoints the exact location and time of when the long awaited earthquake--""The Big One""--will strike southern California. With this information, she must battle city officials to release this information to the general public. Also, she hopes that her family is out of harms way when the quake strikes. Subplots show how other families and people cope with the the tremors that strike before the impending ""Big One.""",41329,assert
tmdb.movie/100032,tmdb.movie/original_title,The Great Los Angeles Earthquake,41329,assert
tmdb.movie/100032,tmdb.movie/original_language,en,41329,assert
tmdb.movie/100032,tmdb.movie/id,100032,41329,assert
tmdb.movie/100032,tmdb.movie/genre_id,28,41329,assert
tmdb.movie/100032,tmdb.movie/genre_id,18,41329,assert
tmdb.movie/100032,tmdb.movie/backdrop_path,,41329,assert
tmdb.movie/100032,tmdb.movie/adult,false,41329,assert
