e,a,v,tx,op
tmdb.movie/1000079,tmdb.movie/adult,false,1,assert
tmdb.movie/1000079,tmdb.movie/backdrop_path,/8xjDW4fWRVaVkBz1F05aofRjY7v.jpg,1,assert
tmdb.movie/1000079,tmdb.movie/genre_id,18,1,assert
tmdb.movie/1000079,tmdb.movie/genre_id,35,1,assert
tmdb.movie/1000079,tmdb.movie/id,1000079,1,assert
tmdb.movie/1000079,tmdb.movie/original_language,fr,1,assert
tmdb.movie/1000079,tmdb.movie/original_title,Pourquoi tu souris ?,1,assert
tmdb.movie/1000079,tmdb.movie/overview,"Wisi is in trouble. He arrives in Bordeaux in the hope of finding a job and crosses paths with Marina, a humanitarian with a big heart. To get accommodation with her, he pretends to be undocumented. One evening, he meets Jérôme, himself on the street after the death of his mother.",1,assert
tmdb.movie/1000079,tmdb.movie/popularity,4.0005,1,assert
tmdb.movie/1000079,tmdb.movie/poster_path,/lmgcuru7xkR5ftvaosQLbHGXwbH.jpg,1,assert
tmdb.movie/1000079,tmdb.movie/release_date,2024-07-03,1,assert
tmdb.movie/1000079,tmdb.movie/title,A Smile Doesn't Lie,1,assert
tmdb.movie/1000079,tmdb.movie/video,false,1,assert
tmdb.movie/1000079,tmdb.movie/vote_average,5.755,1,assert
tmdb.movie/1000079,tmdb.movie/vote_count,49,1,assert
tmdb.movie/100032,tmdb.movie/adult,false,1,assert
tmdb.movie/100032,tmdb.movie/backdrop_path,,1,assert
tmdb.movie/100032,tmdb.movie/genre_id,18,1,assert
tmdb.movie/100032,tmdb.movie/genre_id,28,1,assert
tmdb.movie/100032,tmdb.movie/id,100032,1,assert
tmdb.movie/100032,tmdb.movie/original_language,en,1,assert
tmdb.movie/100032,tmdb.movie/original_title,The Great Los Angeles Earthquake,1,assert
tmdb.movie/100032,tmdb.movie/overview,"After a series of small tremors in Los Angeles, Dr. Clare Winslow, a local seismologist, pinpoints the exact location and time of when the long awaited earthquake--""The Big One""--will strike southern California. With this information, she must battle city officials to release this information to the general public. Also, she hopes that her family is out of harms way when the quake strikes. Subplots show how other families and people cope with the the tremors that strike before the impending ""Big One.""",1,assert
tmdb.movie/100032,tmdb.movie/popularity,3.013,1,assert
tmdb.movie/100032,tmdb.movie/poster_path,/16lXOKjICh1PZ1x1xXMtQbddv9i.jpg,1,assert
tmdb.movie/100032,tmdb.movie/release_date,1990-11-11,1,assert
